x [kpc]	y [kpc]	MF814W
767.44012	315.21010	-7.79956
721.15704	-17.01689	-9.40461
771.80121	1.89508	-7.97931
781.17499	19.67868	-7.71681
745.74829	-185.37221	-7.79390
732.27347	-88.54136	-7.32133
719.13940	21.50875	-7.60549
756.43429	-211.82566	-7.16486
772.08816	-114.67199	-7.76712
765.34776	-130.59861	-7.35298
758.50274	6.28531	-7.59478
769.38004	-476.83174	-9.11626
727.03658	-489.45168	-9.92403
730.18110	-475.87224	-7.11752
712.44683	-163.97181	-7.12956
761.85052	-29.01959	-7.95200
708.85095	-141.90335	-8.29890
770.00177	-260.62182	-8.17108
735.93809	-773.89282	-7.08440
751.15854	0.86609	-7.16693
744.99803	-3.41130	-8.20401
749.64905	-5.99537	-8.34690
748.51021	-5.28920	-8.50068
750.19905	-6.14632	-7.60786
749.13792	-6.73069	-8.00389
749.70883	-5.19803	-7.99046
751.73245	-4.33343	-7.68871
752.69195	-2.26125	-7.50711
751.69359	-4.76087	-8.41420
750.97920	-4.88268	-8.25715
781.09728	-217.72314	-11.13749
750.87458	-2.72530	-9.03505
747.32653	3.31415	-7.70497
750.57268	-4.35286	-7.57454
751.31398	-4.60395	-7.45787
751.81315	-4.58228	-8.21188
753.53786	-4.71753	-7.56158
751.29903	-6.07234	-7.50569
751.10474	-5.74727	-7.58464
752.47673	-5.31610	-7.59716
753.50797	-5.73607	-8.46739
751.59196	-4.61366	-8.88451
730.04361	-4.46944	-8.19738
584.04445	437.21059	-7.93129
591.10468	-514.61459	-8.07171
-45.94831	-720.02641	-8.20384
58.36499	-573.27550	-8.04934
-73.57348	-543.54376	-7.30209
-82.50788	-564.73567	-10.77696
-26.72247	-563.89648	-7.82204
-119.67124	-598.67157	-7.96207
-115.41478	-594.17896	-7.12382
-113.51969	-591.81609	-7.86646
-111.66347	-591.11215	-7.89505
-114.92457	-597.12919	-8.11099
-110.97598	-594.49581	-8.80715
-111.10152	-588.57666	-8.04402
-110.24365	-588.29942	-7.75125
-108.39041	-585.99633	-7.40151
-105.73610	-588.35920	-7.55004
-226.33396	-581.33484	-7.05965
-234.34772	-691.70403	-8.62363
3.18637	-522.97508	-7.86995
-112.75150	-586.99543	-7.19237
-109.00916	-592.14264	-8.24299
-106.89587	-589.19764	-8.09177
-107.01842	-591.85345	-8.12322
-107.32032	-591.01426	-8.07580
-107.96596	-590.31033	-7.46568
